LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-119.0537346,46.1794303,212803,E 200,,Kennewick,,,99337,,e2e66a05c3d67fea
-119.0542618,46.1794392,212403,E 200,,Kennewick,,,99337,,4656cafa3f046243
-119.0529889,46.1793822,213203,E 200,,Kennewick,,,99337,,3e67fd8b82289d76
-119.0543747,46.1803072,19703,S HANEY,,Kennewick,,,99337,,c6d33327f604b8d5
-119.0521899,46.1802772,213403,E 194,,Kennewick,,,99337,,bbfddb18f04999d2
-119.0518782,46.1802425,213405,E 194,,Kennewick,,,99337,,5781fe9853799ca8
-119.0526654,46.1817299,18615,S HANEY,,Kennewick,,,99337,,f93588d802b06763
-119.054155,46.1757723,22905,S HANEY,,Kennewick,,,99337,,740581751d4883f6
-119.0541796,46.182917,212503,E BRYSON BROWN,,Kennewick,,,99337,,18b5dc1d35161dc8
-119.052216,46.1831924,213103,E BRYSON BROWN,,Kennewick,,,99337,,a9561342c6804a2d
-119.0517167,46.1807275,213704,E 194,,Kennewick,,,99337,,df3c47e9df1c5db6
-119.0515876,46.1830448,213703,E BRYSON BROWN,,Kennewick,,,99337,,ad458b46ded06cfb
-119.0522522,46.1794285,213303,E 200,,Kennewick,,,99337,,ea133f58d2c5d437
-119.0517288,46.1793377,213803,E 200,,Kennewick,,,99337,,a3102bee3a67f8a9
-119.0512057,46.1802215,213903,E 194,,Kennewick,,,99337,,7772a01ee6cdfc76
-119.0355863,46.171053,25814,S FINLEY,,Kennewick,,,99337,,b4d35a4d79f765dd
-119.0472366,46.1718459,25612,S 2161,,Kennewick,,,99337,,628e28fe74b689e0
-119.0481124,46.1719419,25602,S 2161,,Kennewick,,,99337,,88fa73e1d4086d7a
-119.0460787,46.1691851,216602,E BOWLES,,Kennewick,,,99337,,18fe3c0a5f0599b5
-119.048604,46.1719701,26102,S 2161,,Kennewick,,,99337,,25633a6190a9eb6d
-119.0496412,46.1708153,214210,E SR 397,,Kennewick,,,99337,,86d7c5c6a222a153
-119.0420122,46.1709663,25904,S 2187,,Kennewick,,,99337,,cfdb57d5af5bb022
-119.0412889,46.1709359,26105,S 2187,,Kennewick,,,99337,,103cbd5e42aec548
-119.0420104,46.1702431,26404,S 2187,,Kennewick,,,99337,,22befd07f314ee78
-119.0413586,46.1702143,26509,S 2187,,Kennewick,,,99337,,67785f4d4436b0d5
-119.0373182,46.1694027,220510,E BOWLES,,Kennewick,,,99337,,76bc70c1402a446d
-119.0394236,46.1723475,219815,E PERKINS,,Kennewick,,,99337,,76c48a6d6b7d5c45
-119.0452314,46.1728817,24409,S POWER LINE,,Kennewick,,,99337,,143855605926c6a4
-119.0440575,46.1725188,24706,S RUFF,,Kennewick,,,99337,,f9aafa1bfaf46636
-119.0408905,46.1723393,219015,E PERKINS,,Kennewick,,,99337,,496b367b420bfad0
-119.0428161,46.172586,24705,S RUFF,,Kennewick,,,99337,,50ab3ddcd0ecd4bb
-119.0409052,46.1720204,25511,S 2187,,Kennewick,,,99337,,983980294fa730ec
-119.0343563,46.1712081,25812,S FINLEY,,Kennewick,,,99337,,e26b525927a1bf0b
-119.0348139,46.1697224,26914,S FINLEY,,Kennewick,,,99337,,8533a8492a781314
-119.0462508,46.1720273,25803,S 2161,,Kennewick,,,99337,,1e0ab93e17e9cd1f
