LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
22.9516893,40.5911513,33,ΓΑΒΡΙΗΛΙΔΟΥ ΒΛ.,,,,,,,90a8fd1169f469af
22.951473,40.5913005,34,ΓΑΒΡΙΗΛΙΔΟΥ ΒΛ.,,,,,,,7ea023789e61825c
22.948681,40.59171,63,ΘΕΜΙΣΤΟΚΛΗ ΣΟΦΟΥΛΗ,,,,,,,8506caeff6ccd35a
22.9484491,40.591553,65,ΘΕΜΙΣΤΟΚΛΗ ΣΟΦΟΥΛΗ,,,,,,,ea2a2bbf03d412e7
22.9477346,40.591029,71,ΘΕΜΙΣΤΟΚΛΗ ΣΟΦΟΥΛΗ,,,,,,,9e6ee8f1d9d032e4
22.9478838,40.5911343,69,ΘΕΜΙΣΤΟΚΛΗ ΣΟΦΟΥΛΗ,,,,,,,c7ee87d62a75a8d4
22.948167,40.591347,67,ΘΕΜΙΣΤΟΚΛΗ ΣΟΦΟΥΛΗ,,,,,,,dc2175b5a82096d5
22.9519481,40.5912803,20,ΚΑΘΗΓΗΤΟΥ ΡΟΥΣΙΔΟΥ,,,,,,,f75a244b6c843625
22.9520243,40.5912178,22,ΚΑΘΗΓΗΤΟΥ ΡΟΥΣΙΔΟΥ,,,,,,,8d52cb54337e95dd
22.9521179,40.591141,24,ΚΑΘΗΓΗΤΟΥ ΡΟΥΣΙΔΟΥ,,,,,,,d34724e7816f0d02
22.9522652,40.5910265,28,ΚΑΘΗΓΗΤΟΥ ΡΟΥΣΙΔΟΥ,,,,,,,941f1fad4ef2dc2d
22.9510148,40.5909675,44,ΓΑΒΡΙΗΛΙΔΟΥ ΒΛ.,,,,,,,c4d435c655c09900
22.951098,40.5910165,42,ΓΑΒΡΙΗΛΙΔΟΥ ΒΛ.,,,,,,,9dafd0d6979f01a8
22.9511581,40.5910587,40,ΓΑΒΡΙΗΛΙΔΟΥ ΒΛ.,,,,,,,671fddf85e4ae6c5
22.9513011,40.5911806,38,ΓΑΒΡΙΗΛΙΔΟΥ ΒΛ.,,,,,,,4bc0b63f300d2f45
22.9513842,40.5912405,36,ΓΑΒΡΙΗΛΙΔΟΥ ΒΛ.,,,,,,,e113e7c5b8a154a0
22.9514337,40.5909513,37,ΓΑΒΡΙΗΛΙΔΟΥ ΒΛ.,,,,,,,3bf6f54487145258
22.9514916,40.5916601,16,ΚΑΘΗΓΗΤΟΥ ΡΟΥΣΙΔΟΥ,,,,,,,84cd3be025e2980e
22.9512737,40.5917358,2,ΠΑΠΑΔΗΜΗΤΡΙΟΥ,,,,,,,8adf9735ccc099f8
22.9502612,40.5910044,22,ΠΑΠΑΔΗΜΗΤΡΙΟΥ,,,,,,,314dacab5a35b96c
22.9511588,40.5916506,4,ΠΑΠΑΔΗΜΗΤΡΙΟΥ,,,,,,,3a6f7c448b5841a3
22.9509727,40.5915209,6,ΠΑΠΑΔΗΜΗΤΡΙΟΥ,,,,,,,777acaed1878c249
22.9508666,40.591446,8,ΠΑΠΑΔΗΜΗΤΡΙΟΥ,,,,,,,5fe4beb280382b9d
22.9507701,40.591373,10,ΠΑΠΑΔΗΜΗΤΡΙΟΥ,,,,,,,0332cf4fc77024d0
22.9507018,40.5913219,12,ΠΑΠΑΔΗΜΗΤΡΙΟΥ,,,,,,,9c4f9f897d410a54
22.950617,40.5912635,14,ΠΑΠΑΔΗΜΗΤΡΙΟΥ,,,,,,,f86201e5534e6886
