LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
14.3783472,40.9531305,52,VIA MURO DI PIOMBO,,,,,,,a1afa8759770e014
14.3785334,40.9532269,54,VIA MURO DI PIOMBO,,,,,,,66627ce65ee880fe
14.3777195,40.9528906,1,VIA MURO DI PIOMBO,,,,,,,1576360d7fa53d82
14.3770869,40.9527994,1/A,VIA MURO DI PIOMBO,,,,,,,f14a00ae6f861348
14.3768651,40.9519938,22,VIA MURO DI PIOMBO,,,,,,,3b78f8fffa56b550
14.3769714,40.9520545,24,VIA MURO DI PIOMBO,,,,,,,19920cfaf8520679
14.3771336,40.9521606,26,VIA MURO DI PIOMBO,,,,,,,2d9322d77394ad88
14.3772172,40.9522201,28,VIA MURO DI PIOMBO,,,,,,,45175f654f71f0b7
14.3773475,40.9523427,30,VIA MURO DI PIOMBO,,,,,,,5d22c06c45e18d7f
14.3775042,40.9524785,34,VIA MURO DI PIOMBO,,,,,,,5573a217cd9fead3
14.3775088,40.9524193,32,VIA MURO DI PIOMBO,,,,,,,3517f348a92b425e
14.3778304,40.9528102,36,VIA MURO DI PIOMBO,,,,,,,d4f971b3ae2037c1
14.3778876,40.9528514,38,VIA MURO DI PIOMBO,,,,,,,e7ccc44ddcdb9834
14.3779502,40.9528937,40,VIA MURO DI PIOMBO,,,,,,,882affbb531daf4b
14.3780455,40.9529478,42,VIA MURO DI PIOMBO,,,,,,,0f79088556cb5bc4
14.3782358,40.9530389,48,VIA MURO DI PIOMBO,,,,,,,7cd0df639eedc8c2
14.378327,40.9529203,46,VIA MURO DI PIOMBO,,,,,,,6a647936b085e51f
14.3783215,40.9528761,44,VIA MURO DI PIOMBO,,,,,,,76d4993cde82325e
14.378248,40.9530785,50,VIA MURO DI PIOMBO,,,,,,,f80b2a9966edf64e
14.3852407,40.9507145,1,VIA PIETRABIANCA,,,,,,,21722fe90182fc41
14.3852948,40.9507329,3,VIA PIETRABIANCA,,,,,,,0bf570b045a18285
14.3853523,40.9507515,5,VIA PIETRABIANCA,,,,,,,cebb4854bf2f3f9e
14.3854459,40.950783,7,VIA PIETRABIANCA,,,,,,,55a7ce140df73a76
14.3854981,40.9508008,9,VIA PIETRABIANCA,,,,,,,c151ad18a5436f67
14.3855485,40.9508179,11,VIA PIETRABIANCA,,,,,,,957f63783cbb1a28
14.3855993,40.9508331,13,VIA PIETRABIANCA,,,,,,,ab3fc51a3ebdd620
14.3856486,40.95085,15,VIA PIETRABIANCA,,,,,,,25a43a759efbd198
14.3856987,40.9508748,17,VIA PIETRABIANCA,,,,,,,c41fe6bcdf9ab8a7
14.3839923,40.9500009,234,CORSO VITTORIO EMANUELE II,,,,,,,3b503424584c3602
